TableName, FieldName
AggStats, DCID
AggStats, AdminPVs
AggStats, Date
AggStats, Enrollment
AggStats, Hits
AggStats, ID
AggStats, NumSchools
AggStats, PageViews
AggStats, ParentHits
AggStats, ParentLogins
AggStats, ParentPVs
AggStats, PG3Hits
AggStats, PGIHits
AggStats, PortalPVs
AggStats, ReportQueueJobs
AggStats, Server
AggStats, Server_InstanceID
AggStats, ServerName
AggStats, StudentHits
AggStats, StudentLogins
AggStats, StudentPVs
AggStats, TeacherPVs
AggStats, Time
AggStats, TotalPVs
AggStats, TotLogins
AggStats, Type
Att_Code_Code_Entity, DCID
Att_Code_Code_Entity, Attendance_CodeID
Att_Code_Code_Entity, Code_EntityID
Att_Code_Code_Entity, ID
Attendance_Code, DCID
Attendance_Code, Alternate_Code
Attendance_Code, Assignment_Filter_YN
Attendance_Code, Att_Code
Attendance_Code, AttendanceCodeInfo_guid
Attendance_Code, Calculate_ADA_YN
Attendance_Code, Calculate_ADM_YN
Attendance_Code, Course_Credit_Points
Attendance_Code, Description
Attendance_Code, ID
Attendance_Code, Presence_Status_CD
Attendance_Code, SchoolID
Attendance_Code, SortOrder
Attendance_Code, Unused1
Attendance_Code, YearID
Attendance_Conversion, DCID
Attendance_Conversion, ID
Attendance_Conversion, Name
Attendance_Conversion, SchoolID
Attendance_Conversion, Year_ID
Attendance_Conversion_Items, DCID
Attendance_Conversion_Items, Attendance_Conversion_ID
Attendance_Conversion_Items, Attendance_Value
Attendance_Conversion_Items, Comment
Attendance_Conversion_Items, Conversion_Mode_Code
Attendance_Conversion_Items, DayPartID
Attendance_Conversion_Items, FTEID
Attendance_Conversion_Items, ID
Attendance_Conversion_Items, Input_Value
Attendance_Conversion_Items, unused
Attendance, DCID
Attendance, ADA_Value_Code
Attendance, ADA_Value_Time
Attendance, ADM_Value
Attendance, Att_Comment
Attendance, Att_Date
Attendance, Att_Flags
Attendance, Att_Interval
Attendance, Att_Mode_Code
Attendance, Attendance_CodeID
Attendance, Calendar_DayID
Attendance, CCID
Attendance, ID
Attendance, ip_address
Attendance, Lock_Reporting_YN
Attendance, Lock_Teacher_YN
Attendance, Parent_AttendanceID
Attendance, PeriodID
Attendance, Prog_Crse_Type
Attendance, ProgramID
Attendance, SchoolID
Attendance, StudentID
Attendance, Total_Minutes
Attendance, Transaction_Type
Attendance, whomodifiedid
Attendance, whomodifiedtype
Attendance, YearID
AttendanceQueue, DCID
AttendanceQueue, Att_Comment
AttendanceQueue, Att_Date
AttendanceQueue, Att_Interval
AttendanceQueue, Att_Mode_Code
AttendanceQueue, Attendance_CodeID
AttendanceQueue, Calendar_DayID
AttendanceQueue, CCID
AttendanceQueue, DateRecorded
AttendanceQueue, ID
AttendanceQueue, Lock_Teacher_YN
AttendanceQueue, OldAttendance_CodeID
AttendanceQueue, Parent_AttendanceID
AttendanceQueue, PeriodID
AttendanceQueue, Program_Name
AttendanceQueue, SchoolID
AttendanceQueue, SectionID
AttendanceQueue, StudentID
AttendanceQueue, TimeRecorded
AttendanceQueue, Total_Minutes
AttendanceQueue, Transaction_Type
AttendanceQueue, Unused1
AttendanceQueue, Unused2
AttendanceQueue, YearID
Attendance_Taken, DCID
Attendance_Taken, Att_Date
Attendance_Taken, Att_Interval
Attendance_Taken, Att_Taken_Dt
Attendance_Taken, ID
