ID,*gpa_method="added_value",*gpa_method="simple",*gpa_method="simple_percent",*gpa_method="added_value"_term="Q1",*gpa_method="simple"_term="Q1",*gpa_method="simple_percent"_term="Q1"
277,1.7143,2.2500,77.3750,1.7143,2.2500,77.3750
278,2.6665,3.0416,84.8338,2.6665,3.0416,84.8338
383,3.3017,3.1429,86.0429,3.3017,3.1429,86.0429
363,2.2223,2.7084,81.5000,2.2223,2.7084,81.5000
281,3.8731,3.7501,92.9300,3.8731,3.7501,92.9300
284,4.1270,4.0000,96.2150,4.1270,4.0000,96.2150
285,4.1905,3.9584,96.5412,4.1905,3.9584,96.5412
287,2.6669,3.2084,86.8750,2.6669,3.2084,86.8750
288,2.2859,2.7084,81.8413,2.2859,2.7084,81.8413
290,2.6667,2.6250,80.9750,2.6667,2.6250,80.9750
387,2.4313,2.0000,74.2988,2.4313,2.0000,74.2988
294,3.3651,3.0000,84.5888,3.3651,3.0000,84.5888
295,3.7461,3.5416,89.8750,3.7461,3.5416,89.8750
901,3.3650,3.5416,90.3750,3.3650,3.5416,90.3750
375,3.1110,3.1249,86.1250,3.1110,3.1249,86.1250
298,3.6825,3.5000,89.5000,3.6825,3.5000,89.5000
364,3.1747,3.0001,84.7338,3.1747,3.0001,84.7338
301,3.0000,2.7619,82.4286,3.0000,2.7619,82.4286
388,2.4128,2.3334,77.6200,2.4128,2.3334,77.6200
380,2.3334,2.4583,78.7500,2.3334,2.4583,78.7500
366,2.9840,2.9584,83.8650,2.9840,2.9584,83.8650
304,3.2941,3.2857,87.2743,3.2941,3.2857,87.2743
306,2.4762,3.1249,85.8713,2.4762,3.1249,85.8713
307,2.8571,3.4166,89.2763,2.8571,3.4166,89.2763
308,2.8235,2.4761,79.6086,2.8235,2.4761,79.6086
311,3.6827,3.8750,94.0038,3.6827,3.8750,94.0038
312,2.6030,2.7916,83.0625,2.6030,2.7916,83.0625
313,2.3493,3.1668,86.0050,2.3493,3.1668,86.0050
904,3.6078,3.6190,91.3300,3.6078,3.6190,91.3300
314,4.0636,3.8750,94.4738,4.0636,3.8750,94.4738
315,3.6032,3.8334,93.1250,3.6032,3.8334,93.1250
367,1.9684,2.1250,75.9038,1.9684,2.1250,75.9038
316,4.0000,3.9584,95.6250,4.0000,3.9584,95.6250
317,2.9842,3.2084,86.9000,2.9842,3.2084,86.9000
368,2.3529,2.6190,80.5400,2.3529,2.6190,80.5400
369,2.7303,2.6250,80.8088,2.7303,2.6250,80.8088
1154,3.2857,3.2916,87.3750,3.2857,3.2916,87.3750
389,3.4286,3.1668,86.2875,3.4286,3.1668,86.2875
324,4.1905,3.9584,95.4675,4.1905,3.9584,95.4675
390,3.2941,3.1906,86.6843,3.2941,3.1906,86.6843
370,1.9021,2.4763,78.7143,1.9021,2.4763,78.7143
327,4.0000,4.0000,97.8750,4.0000,4.0000,97.8750
328,3.8731,3.9584,95.7513,3.8731,3.9584,95.7513
329,3.2383,3.5416,90.4550,3.2383,3.5416,90.4550
371,3.1747,3.5834,90.3163,3.1747,3.5834,90.3163
330,3.2381,2.8750,83.5000,3.2381,2.8750,83.5000
333,4.0000,3.9584,95.8750,4.0000,3.9584,95.8750
372,3.8731,3.7500,92.6075,3.8731,3.7500,92.6075
338,4.1905,4.0000,98.1662,4.1905,4.0000,98.1662
339,1.8237,2.4763,78.8571,1.8237,2.4763,78.8571
340,3.9366,3.8334,93.1838,3.9366,3.8334,93.1838
341,2.3529,2.7619,81.8571,2.3529,2.7619,81.8571
342,3.8730,3.8751,94.1250,3.8730,3.8751,94.1250
373,2.5396,2.8334,83.4400,2.5396,2.8334,83.4400
345,4.1270,4.0000,97.0638,4.1270,4.0000,97.0638
346,3.9366,3.9584,95.1525,3.9366,3.9584,95.1525
350,2.0590,2.5239,79.5714,2.0590,2.5239,79.5714
352,2.6668,2.9047,83.8571,2.6668,2.9047,83.8571
356,3.4922,3.2084,86.5000,3.4922,3.2084,86.5000
