Text13,Text15,Text1,Text3,Text5,Text7,Text11
589,Timony Grammar School,0,,,0,0
594,League School,0,,,0,0
565,District,17,Haverhill Public Schools,Ma,0,0
211,Bartlett Kindergarten Center,17,Haverhill Public Schools,Ma,0,66476
212,Bradford Elementary School,17,Haverhill Public Schools,Ma,0,66671
213,Burnham Elementary School,17,Haverhill Public Schools,Ma,0,0
214,Consentino School,17,Haverhill Public Schools,Ma,0,67158
215,Crowell Elementary School,17,Haverhill Public Schools,Ma,0,67174
216,Golden Hill Elementary School,17,Haverhill Public Schools,Ma,0,66866
217,Greenleaf Elementary School,17,Haverhill Public Schools,Ma,0,67174
218,Haverhill Alternative School Program,17,Haverhill Public Schools,Ma,0,66399
219,Haverhill High School,17,Haverhill Public Schools,Ma,0,66836
220,Hunking Middle School,17,Haverhill Public Schools,Ma,0,96392
221,Moody Elementary School,17,Haverhill Public Schools,Ma,0,67174
222,Nettle Middle School,17,Haverhill Public Schools,Ma,0,66954
224,Pentucket Lake Elementary School,17,Haverhill Public Schools,Ma,0,66946
226,Therapeutic Education Assessment Center,17,Haverhill Public Schools,Ma,0,66399
227,Tilton Elementary School,17,Haverhill Public Schools,Ma,0,67000
228,Walnut Square Elementary School,17,Haverhill Public Schools,Ma,0,67174
229,Whittier Middle School,17,Haverhill Public Schools,Ma,0,66576
225,Silver Hill Horace Mann Charter School,18,Silver Hill Horace Mann Charter School,,0,93751
569,The Futures Clinic Inc.,19,Out-Of-District,,0,0
570,Willow HIll School,19,Out-Of-District,,0,0
573,St. Augustine School,19,Out-Of-District,,0,0
575,Community Day Charter Public School,19,Out-Of-District,,0,0
579,Valley Collaborative: Valley Elementary School ,19,Out-Of-District,,0,0
580,Central Massachusetts SPED Collaborative,19,Out-Of-District,,0,0
581,Shore Country Day School,19,Out-Of-District,,0,0
585,Malden Catholic H.S.,19,Out-Of-District,,0,0
591,Lawrence Catholic Academy,19,Out-Of-District,,0,0
230,Abundant Life Christian School Wilmington,19,Out-Of-District,,0,0
258,Cogswell,19,Out-Of-District,,0,0
397,Amego,19,Out-Of-District,,0,0
398,Arlington High School,19,Out-Of-District,,0,0
399,Arlington Middle School (Ottoson),19,Out-Of-District,,0,0
400,Assabet Valley Collaborative ALT,19,Out-Of-District,,0,0
401,Austin Prep,19,Out-Of-District,,0,0
402,Bay Cove Academy,19,Out-Of-District,,0,0
403,Beverly Public,19,Out-Of-District,,0,0
404,Beverly School for the Deaf,19,Out-Of-District,,0,0
405,Boston Higashi School,19,Out-Of-District,,0,0
406,Boston Public School,19,Out-Of-District,,0,0
407,Boxford Academy,19,Out-Of-District,,0,0
408,Bradford Christian Academy,19,Out-Of-District,,0,0
409,Bradley Hospital,19,Out-Of-District,,0,0
410,Brandon,19,Out-Of-District,,0,0
411,Brightside,19,Out-Of-District,,0,0
412,Caldwell Alternative School,19,Out-Of-District,,0,0
413,"Calvary Christian School, Derry NH",19,Out-Of-District,,0,0
414,Cardinal Cushing,19,Out-Of-District,,0,0
415,Central Catholic,19,Out-Of-District,,0,0
416,Central MA SPED Collaborative: Goddard Learning,19,Out-Of-District,,0,0
417,Central SEIS DYS,19,Out-Of-District,,0,0
418,Central SEIS Non-DYS,19,Out-Of-District,,0,0
419,Chamberlain School,19,Out-Of-District,,0,0
420,Chelmsford High School,19,Out-Of-District,,0,0
421,Chesterfield Elementary NH,19,Out-Of-District,,0,0
