Text20,Text22,Text7,Text15,Text25,Text31,Text34,Text1
12812914,1001318433,78207,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12809802,1029349721,72277,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26633
12814036,1004034238,93871,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12811837,1029641725,72301,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12825100,1045637133,95994,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,22909
12814308,1038035237,93895,9/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26633
12813871,1015035232,93905,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12813890,1033034231,93906,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12811266,1047793623,73777,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12814344,1023035231,93931,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12814096,1067035230,93935,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12804095,1060313725,78780,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,10,24215
04599179,1064628607,75214,9/3/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,18,27150
12813866,1060035232,93944,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12813237,1028585520,78329,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26634
12810731,1012794625,71220,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,22909
12814194,1038086728,93955,8/28/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12812558,1070412434,75702,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12810465,,97757,9/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26634
12804254,1079122522,76398,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12804509,1001124527,70286,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12804476,1066124520,75345,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12814262,1032036232,93992,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12814396,1045034234,93993,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12814333,1054035235,93994,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12825497,1000731137,97398,9/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26634
12813920,1007410825,94015,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12810316,1033608036,72602,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26633
12813864,1065035237,94024,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12804956,1072123525,75829,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12825555,1055981621,97540,9/3/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26634
12811492,1007897624,70851,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12810540,1084109130,76835,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12803676,1048606109,73852,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,22,27150
12814021,1079035233,94058,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12812530,1095319438,77787,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
04599191,1072721609,75872,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,22,27150
12825369,,97038,8/28/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12825212,1008730135,96621,8/31/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12814118,1069305838,94126,8/25/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,22909
12805328,1008122523,78471,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,10,24215
